Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Nursing home/long term care facility,626,4946,196,93,,731,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Other,23,2151,29,,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Total - All Places of Death,2218,24194,2923,1667,25,3495,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,"Healthcare setting, inpatient",1710,12433,2439,1348,22,2821,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",88,1379,86,59,0,115,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Decedent's home,188,6148,168,110,,246,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Hospice facility,40,816,53,32,0,61,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Nursing home/long term care facility,160,1670,139,96,0,203,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Other,32,1745,38,22,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Total - All Places of Death,80523,859324,93697,49496,1219,125828,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,"Healthcare setting, inpatient",54413,253579,65296,38404,780,82007,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,"Healthcare setting, outpatient or emergency room",2649,54301,2429,1066,57,4066,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,"Healthcare setting, dead on arrival",34,647,19,11,0,42,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Decedent's home,5757,244114,5617,2007,96,9459,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Hospice facility,10181,153710,13825,5294,216,18908,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Nursing home/long term care facility,4189,70027,3026,1136,26,6101,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Other,3300,82937,3485,1578,44,5245,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Total - All Places of Death,36141,360991,33124,18543,517,51191,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,"Healthcare setting, inpatient",24987,112063,25597,15524,367,35392,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room",1963,33010,1256,523,37,2729,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,"Healthcare setting, dead on arrival",70,2531,47,14,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Decedent's home,3446,122448,2149,821,60,4828,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Hospice facility,1768,25303,1964,698,29,3061,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Nursing home/long term care facility,3372,42856,1816,847,15,4355,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Other,535,22739,295,116,,722,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Place of death unknown,0,41,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Total - All Places of Death,1864,44152,3408,946,62,4384,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,"Healthcare setting, inpatient",1218,12338,2318,802,39,2771,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",138,3362,140,34,,248,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,"Healthcare setting, dead on arrival",30,1830,46,,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Decedent's home,277,16326,452,66,,670,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Hospice facility,31,1859,87,,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Nursing home/long term care facility,100,3594,180,13,,272,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Other,70,4842,185,19,,239,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Total - All Places of Death,5564,59435,4821,2812,141,7705,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,"Healthcare setting, inpatient",3207,14426,3225,2094,71,4403,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",117,2022,105,38,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,47,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Decedent's home,932,24584,668,311,35,1322,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Hospice facility,190,2208,187,92,,291,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Nursing home/long term care facility,1049,12852,578,255,19,1390,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Other,69,3296,58,22,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Total - All Places of Death,38488,421058,39243,19796,590,58488,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,"Healthcare setting, inpatient",24928,130216,29601,16234,380,38645,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room",1598,29931,1244,497,32,2376,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,"Healthcare setting, dead on arrival",33,910,13,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Decedent's home,3595,140764,2905,936,64,5627,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Hospice facility,926,16513,1206,434,16,1713,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Nursing home/long term care facility,6381,72795,3637,1475,84,8624,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Other,1027,29928,637,213,14,1464,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Total - All Places of Death,26681,265733,27174,13864,515,40472,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,"Healthcare setting, inpatient",16054,82286,20110,11171,357,25325,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",627,11390,545,220,23,972,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,"Healthcare setting, dead on arrival",,213,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Decedent's home,2587,88764,2261,807,51,4089,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Hospice facility,454,9870,793,272,14,989,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Nursing home/long term care facility,6570,58876,3137,1269,63,8498,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Other,382,14313,325,124,,590,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Total - All Places of Death,10961,118253,9574,4051,314,16782,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,"Healthcare setting, inpatient",5620,31186,6120,2970,142,8900,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",331,6182,252,82,14,514,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,"Healthcare setting, dead on arrival",,125,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Decedent's home,978,33249,852,218,46,1657,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Hospice facility,332,9529,632,112,27,878,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Nursing home/long term care facility,3567,33238,1627,643,80,4630,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Other,128,4742,87,24,,195,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Total - All Places of Death,10084,106049,9193,4469,301,15093,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,"Healthcare setting, inpatient",6005,30124,6396,3455,172,9108,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",282,4402,231,90,12,435,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,"Healthcare setting, dead on arrival",,94,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Decedent's home,1004,33449,789,269,45,1566,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Hospice facility,211,5243,395,86,20,539,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Nursing home/long term care facility,2435,27093,1279,538,50,3225,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Other,145,5644,103,31,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Total - All Places of Death,20067,196593,22736,10205,501,33042,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,"Healthcare setting, inpatient",13012,68011,17860,8569,357,22616,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",767,14557,588,211,21,1165,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,272,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Decedent's home,2456,64128,1712,617,65,3611,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Hospice facility,854,14439,982,254,35,1613,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Nursing home/long term care facility,2756,25732,1433,489,20,3716,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Other,216,9439,157,62,,313,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Place of death unknown,,15,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Total - All Places of Death,17568,187478,15345,8827,225,24295,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,"Healthcare setting, inpatient",12458,56490,11610,7167,159,17047,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",828,12543,726,336,18,1236,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,138,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Decedent's home,1745,69881,1237,475,32,2537,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Hospice facility,477,9515,464,222,,725,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Nursing home/long term care facility,1848,26404,1142,567,,2431,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Other,209,12507,162,59,,313,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Total - All Places of Death,3181,57666,4004,852,137,6466,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,"Healthcare setting, inpatient",1666,13665,2546,645,73,3638,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",82,1871,98,15,,173,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,"Healthcare setting, dead on arrival",,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Decedent's home,353,21183,495,73,10,785,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Hospice facility,121,5836,245,27,11,350,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Nursing home/long term care facility,918,11746,573,87,31,1434,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Other,36,3305,45,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Place of death unknown,,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Total - All Places of Death,17961,196938,17711,7201,326,28754,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,"Healthcare setting, inpatient",10282,51437,11514,5323,200,16645,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,"Healthcare setting, outpatient or emergency room",681,13066,535,111,23,1127,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,"Healthcare setting, dead on arrival",,203,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Decedent's home,1664,63857,1309,330,36,2674,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Hospice facility,1568,20716,2296,736,33,3158,
